index,title,skills,company,city,state,type,salary,salary_type,sal_min,sal_max,sal_median,posted_date,origin
775,Jr. Data Scientist,,Net2Aspire,,,Remote,$65000 - $80000,yearly,65000,80000,72500,,simplyhired.com
776,Data Scientist,,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300,11100,49200,,simplyhired.com
777,Senior Data Analyst,,Customers Bank,Pennsylvania,,Onsite,$101000 - $128000,yearly,101000,128000,114500,,simplyhired.com
778,Data Scientist - Biostatistics,,"Ursus, Inc.",Sunnyvale,CA,Onsite,$70.00 - $80.03 an hour,hourly,70,80.03,75.02,,simplyhired.com
779,Data Scientist,,Driscoll Health,Corpus Christi,TX,Onsite,$72700 - $92000,yearly,72700,92000,82350,,simplyhired.com
780,Junior Data Scientist,,NYC Health + Hospitals,New York,NY,Onsite,$61000 - $85000,yearly,61000,85000,73000,,simplyhired.com
781,Data Scientist,,ConnectiveRx,,,Remote,$98900 - $12500,yearly,98900,12500,55700,,simplyhired.com
782,Data Scientist,,Leaz EduTech OPC PVT LTD,,,Remote,$77732 - $192440,yearly,77732,192440,135086,,simplyhired.com
783,Data Scientist,,Kaizen Analytix,,,Remote,$50 - $60 an hour,hourly,50,60,55,,simplyhired.com
784,Jr. Data Scientist,,"WhirlWind Technologies, LLC",,,Remote,$86000 - $110000,yearly,86000,110000,98000,,simplyhired.com
785,"Sr Manager, Data Science",,HCSC,Chicago,IL,Onsite,$99300 - $12600,yearly,99300,12600,55950,,simplyhired.com
786,Data Engineer,,Medline Industries Inc,Chicago,IL,Hybrid,$89600 - $11300,yearly,89600,11300,50450,,simplyhired.com
787,"PhD Director, Data Science R&D (Decision Sciences Identity Team)",,Epsilon,Chicago,IL,Remote/Onsite,$123000 - $156000,yearly,123000,156000,139500,,simplyhired.com
788,Senior Data Scientist,,MoneyGram,Dallas,TX,Onsite,$110000 - $134750,yearly,110000,134750,122375,,simplyhired.com
789,MS Azure Data Scientist,"Microsoft, Azure",Ahlstrom,Kaukauna,WI,Hybrid,,yearly,,,,,simplyhired.com
790,Senior Data Scientist,,FutureFit AI,New York,NY,Onsite,$141000 - $178000,yearly,141000,178000,159500,,simplyhired.com
791,Data Scientist,,The Josef Group Inc.,Annapolis Junction,MD,Onsite,$150000 - $240000,yearly,150000,240000,195000,,simplyhired.com
792,"Cloud Data Engineer I - AWS, Python, Snowflake, SQL","Cloud, AWS, Python, Snowflake, SQL","The Travelers Companies, Inc.",Hartford,CT,Onsite,,yearly,,,,,simplyhired.com
793,Sr. Data Analyst,,Jobot,Atlanta,GA,Onsite,$80000 - $110000,yearly,80000,110000,95000,,simplyhired.com
794,Data Scientist,,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000,110000,102500,,simplyhired.com
795,Jr. Data Scientist,,Net2Aspire,,,Remote,$65000 - $80000,yearly,65000,80000,72500,,simplyhired.com
796,Data Scientist,,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300,11100,49200,,simplyhired.com
797,Junior Data Scientist,,NYC Health + Hospitals,New York,NY,Onsite,$61000 - $85000,yearly,61000,85000,73000,,simplyhired.com
798,Data Scientist,,Leaz EduTech OPC PVT LTD,,,Remote,$77732 - $192440,yearly,77732,192440,135086,,simplyhired.com
799,"Sr. Architect  Data , AI, Information Architecture",AI,"The Travelers Companies, Inc.",Hartford,CT,Onsite,,yearly,,,,,simplyhired.com
800,Senior Data Analyst,,GrayHawk Health,Chesterbrook,PA,Onsite,$78700 - $99700,yearly,78700,99700,89200,,simplyhired.com
801,Biotech Machine Learning Scientist,ML,Gables Search Group,Pittsburgh,PA,Onsite,$73300 - $92800,yearly,73300,92800,83050,,simplyhired.com
802,Data Scientist,,Kaizen Analytix,,,Remote,$50 - $60 an hour,hourly,50,60,55,,simplyhired.com
803,Jr. Data Scientist,,"WhirlWind Technologies, LLC",,,Remote,$86000 - $110000,yearly,86000,110000,98000,,simplyhired.com
804,Data Engineer,,Gateway Professional Network,,,Remote,$95000 - $145000,yearly,95000,145000,120000,,simplyhired.com
805,Data Scientist,,Newfish Inc,New York,NY,Onsite,$111000 - $141000,yearly,111000,141000,126000,,simplyhired.com
806,Data Scientist,,Nanit,New York,NY,Onsite,$115000 - $120000,yearly,115000,120000,117500,,simplyhired.com
807,Sr. Data Scientist,,Berry Appleman & Leiden LLP,,,Remote,$97800 - $12400,yearly,97800,12400,55100,,simplyhired.com
808,Data Scientist  Vehicle Procurement,,Hertz,Estero,FL,Onsite,,yearly,,,,,simplyhired.com
809,Senior NLP Research Engineer - Artificial Intelligence Group,AI,Bloomberg,New York,NY,Onsite,$165000 - $260000,yearly,165000,260000,212500,,simplyhired.com
810,Data Scientist (with Product Owner experience),,OpTech LLC,Columbus,OH,Onsite,$55 - $60 an hour,hourly,55,60,57.5,,simplyhired.com
811,Principal Statistical Programmer/ Data Science Systems,,Labcorp,Wilmington,NC,Remote,$110000 - $150000,yearly,110000,150000,130000,,simplyhired.com
812,Data Scientist,,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000,110000,102500,,simplyhired.com
813,Machine Learning Engineer,ML,Vadum Inc,Raleigh,NC,Onsite,,yearly,,,,,simplyhired.com
814,AI Developer,AI,CobbleStone Software,Clementon,NJ,Onsite,$75000 - $95000,yearly,75000,95000,85000,,simplyhired.com
815,Senior Machine Learning Engineer,ML,MicroAI,Irving,TX,Onsite,$122000 - $154000,yearly,122000,154000,138000,,simplyhired.com
816,Jr. Data Scientist,,Net2Aspire,,,Remote,$65000 - $80000,yearly,65000,80000,72500,,simplyhired.com
817,Data Scientist,,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300,11100,49200,,simplyhired.com
818,Junior Data Scientist,,NYC Health + Hospitals,New York,NY,Onsite,$61000 - $85000,yearly,61000,85000,73000,,simplyhired.com
819,Data Scientist,,Kaizen Analytix,,,Remote,$50 - $60 an hour,hourly,50,60,55,,simplyhired.com
820,Jr. Data Scientist,,"WhirlWind Technologies, LLC",,,Remote,$86000 - $110000,yearly,86000,110000,98000,,simplyhired.com
821,Machine Learning Framework Engineer,ML,Comcast,Washington,DC,Onsite,,yearly,,,,,simplyhired.com
822,Senior Machine Learning Engineer - Data Automation,ML,Bloomberg,New York,NY,Onsite,$165000 - $260000,yearly,165000,260000,212500,,simplyhired.com
823,Data Scientist (Energy Preferred),,Jobot,Herndon,VA,Onsite,$140000 - $170000,yearly,140000,170000,155000,,simplyhired.com
824,Data Scientist,,Newfish Inc,New York,NY,Onsite,$111000 - $141000,yearly,111000,141000,126000,,simplyhired.com
825,Data Scientist,,Nanit,New York,NY,Onsite,$115000 - $120000,yearly,115000,120000,117500,,simplyhired.com
826,Data Scientist,,Blue Apron,New York,NY,Onsite,$99400 - $12600,yearly,99400,12600,56000,,simplyhired.com
827,Scientist I - Image Registration & Multimodal Data Integration,,Allen Institute,Seattle,WA,Onsite,$80253 - $112355,yearly,80253,112355,96304,,simplyhired.com
828,Junior Data Scientist,,Augray,Brookfield,WI,Onsite,$55000 - $60000,yearly,55000,60000,57500,,simplyhired.com
829,Senior Manager Data Scientist,,Walgreens,Deerfield,IL,Onsite,,yearly,,,,,simplyhired.com
830,"Associate Director, Statistical Programming",,SAGE Therapeutics,,,Remote,$150923 - $207519,yearly,150923,207519,179221,,simplyhired.com
831,"Engineer 3, Machine Learning",ML,Comcast,Washington,DC,Onsite,,yearly,,,,,simplyhired.com
832,"Director, Cloud Data Engineering Tech Lead - Enterprise Market Research",Cloud,"The Travelers Companies, Inc.",Hartford,CT,Onsite,,yearly,,,,,simplyhired.com
833,"Director, Commercial Data Science and Decision Analytics",Analytics,SAGE Therapeutics,,MA,Onsite,$175642 - $241508,yearly,175642,241508,208575,,simplyhired.com
